fecha,tipo_movimiento,estado,remito,variedad,lote,cantidad_kg,origen,destino,cliente,observaciones,hoja_origen,fila_origen,movement_number
2026-02-13,INBOUND,CONFIRMED,805,Agata,AGATA-224,29120.000,,Dospanca,,bolsa blanca-hilo negro dtv 13250335-4 | Transporte: alvaro arenas,Env a Frio,2,XLS-ENV-A-FRIO-805-R2
2026-02-13,INBOUND,CONFIRMED,651,Agata,AGATA-224,40520.000,,Santa Ana,,"0,90 ha 14,4 g /15,4 g | Transporte: camillo/mario",Ingreso Tolvas Santa Ana,2,XLS-INGRESO-TOLVAS-SANTA-ANA-651-R2
2026-02-14,INBOUND,CONFIRMED,806,Agata,AGATA-224,27640.000,,Dospanca,,BOlsa blanca-hilo negro dtv 13252720-2 | Transporte: cerone(raphael),Env a Frio,3,XLS-ENV-A-FRIO-806-R3
2026-02-14,INBOUND,CONFIRMED,652,Agata,AGATA-224,43220.000,,Santa Ana,,"0,88 ha 14,3g/16,3 g | Transporte: camillo/gaston",Ingreso Tolvas Santa Ana,3,XLS-INGRESO-TOLVAS-SANTA-ANA-652-R3
2026-02-14,INBOUND,CONFIRMED,653,Agata,AGATA-223,36940.000,,Santa Ana,,14 g campo/16 g planta | Transporte: camillo/mario,Ingreso Tolvas Santa Ana,4,XLS-INGRESO-TOLVAS-SANTA-ANA-653-R4
2026-02-16,INBOUND,CONFIRMED,807,Agata,AGATA-224,4543.000,,Dospanca,,bolsa blanca-hilo negro dtv 13257973-3 | Transporte: cerone(sotelo),Env a Frio,4,XLS-ENV-A-FRIO-807-R4
2026-02-16,INBOUND,CONFIRMED,807,Agata,AGATA-223,26434.000,,Dospanca,,bolsa blanca-hilo rojo dtv 13257973-3 | Transporte: cerone(sotelo),Env a Frio,5,XLS-ENV-A-FRIO-807-R5
2026-02-16,INBOUND,CONFIRMED,808,Agata,AGATA-224,13970.000,,Dospanca,,bolsa blanca-hilo negro dtv 13258734-5 | Transporte: alvaro arenas,Env a Frio,6,XLS-ENV-A-FRIO-808-R6
2026-02-16,INBOUND,CONFIRMED,808,Agata,AGATA-222,7590.000,,Dospanca,,bolsa blanca-hilo verde dtv 13258734-5 | Transporte: alvaro arenas,Env a Frio,7,XLS-ENV-A-FRIO-808-R7
2026-02-16,INBOUND,CONFIRMED,654,Agata,AGATA-222,9000.000,,Santa Ana,,16 g campo/19 g planta | Transporte: arenas/de grandis,Ingreso Tolvas Santa Ana,5,XLS-INGRESO-TOLVAS-SANTA-ANA-654-R5
2026-02-16,INBOUND,CONFIRMED,654,Agata,AGATA-224,27680.000,,Santa Ana,,16g campo/19 g planta | Transporte: arenas/de grandis,Ingreso Tolvas Santa Ana,6,XLS-INGRESO-TOLVAS-SANTA-ANA-654-R6
2026-02-18,INBOUND,CONFIRMED,809,Agata,AGATA-223,4554.000,,Dospanca,,bolsa blanca-hilo rojo dtv 13265915-5 | Transporte: alvaro arenas,Env a Frio,8,XLS-ENV-A-FRIO-809-R8
2026-02-18,INBOUND,CONFIRMED,809,Agata,AGATA-224,5184.000,,Dospanca,,bolsa blanca-hilo negro dtv 13265915-5 | Transporte: alvaro arenas,Env a Frio,9,XLS-ENV-A-FRIO-809-R9
2026-02-19,INBOUND,CONFIRMED,810,Agata,AGATA-221,20702.000,,Dospanca,,bolsa blanca-hilo blanco dtv 13274816-0 | Transporte: cerone(raphael),Env a Frio,10,XLS-ENV-A-FRIO-810-R10
2026-02-19,INBOUND,CONFIRMED,810,Agata,AGATA-222,10633.000,,Dospanca,,bolsa blanca-hilo verde dtv 13274816-0 | Transporte: cerone(raphael),Env a Frio,11,XLS-ENV-A-FRIO-810-R11
2026-02-19,INBOUND,CONFIRMED,655,Agata,AGATA-222,12000.000,,Santa Ana,,"0,95 ha 19 g campo/19 p | Transporte: camillo/gaston",Ingreso Tolvas Santa Ana,7,XLS-INGRESO-TOLVAS-SANTA-ANA-655-R7
2026-02-19,INBOUND,CONFIRMED,655,Agata,AGATA-221,30620.000,,Santa Ana,,"0,95 ha 19 g campo/19 p | Transporte: camillo/gaston",Ingreso Tolvas Santa Ana,8,XLS-INGRESO-TOLVAS-SANTA-ANA-655-R8
2026-02-19,INBOUND,CONFIRMED,656,Agata,AGATA-221,38380.000,,Santa Ana,,"19,5 g campo/ 19,8 planta | Transporte: camillo/mario",Ingreso Tolvas Santa Ana,9,XLS-INGRESO-TOLVAS-SANTA-ANA-656-R9
2026-02-20,INBOUND,CONFIRMED,811,Agata,AGATA-221,27970.000,,Dospanca,,bolsa blanca-hilo blanco dtv 13275968-5 | Transporte: cerone(sotelo),Env a Frio,12,XLS-ENV-A-FRIO-811-R12
2026-02-20,INBOUND,CONFIRMED,811,Agata,AGATA-221,2470.000,,Dospanca,,bolsa blanca-hilo blanco dtv 13275968-5 | Transporte: cerone(sotelo),Env a Frio,13,XLS-ENV-A-FRIO-811-R13
2026-02-20,INBOUND,CONFIRMED,657,Agata,AGATA-221,12000.000,,Santa Ana,,14 g campo/17 g planta | Transporte: camillo/gaston,Ingreso Tolvas Santa Ana,10,XLS-INGRESO-TOLVAS-SANTA-ANA-657-R10
2026-02-23,INBOUND,CONFIRMED,659,Agata,AGATA-220,10000.000,,Santa Ana,,20 grados planta | Transporte: camillo/mario,Ingreso Tolvas Santa Ana,11,XLS-INGRESO-TOLVAS-SANTA-ANA-659-R11
2026-02-26,INBOUND,CONFIRMED,661,Asterix,ASTERIX-820,43360.000,,Santa Ana,,15 grados planta | Transporte: camillo/gaston,Ingreso Tolvas Santa Ana,12,XLS-INGRESO-TOLVAS-SANTA-ANA-661-R12
2026-02-26,INBOUND,CONFIRMED,662,Asterix,ASTERIX-820,29160.000,,Santa Ana,,17 grados planta | Transporte: camillo/mario,Ingreso Tolvas Santa Ana,13,XLS-INGRESO-TOLVAS-SANTA-ANA-662-R13
2026-02-26,INBOUND,CONFIRMED,662,Asterix,ASTERIX-821,10000.000,,Santa Ana,,17 grados planta | Transporte: camillo/mario,Ingreso Tolvas Santa Ana,14,XLS-INGRESO-TOLVAS-SANTA-ANA-662-R14
2026-02-26,INBOUND,CONFIRMED,664,Asterix,ASTERIX-821,32020.000,,Santa Ana,,18 grados en planta | Transporte: arenas/de grandis,Ingreso Tolvas Santa Ana,15,XLS-INGRESO-TOLVAS-SANTA-ANA-664-R15
2026-02-27,INBOUND,CONFIRMED,819,Asterix,ASTERIX-821,7605.000,,Dospanca,,bolsa verde-hilo negro | Transporte: cerone(raphael),Env a Frio,14,XLS-ENV-A-FRIO-819-R14
2026-02-27,INBOUND,CONFIRMED,820,Asterix,ASTERIX-821,30460.000,,Dospanca,,bolsa verde-hilo negro dtv 13312627-9 | Transporte: cerone(raphael),Env a Frio,15,XLS-ENV-A-FRIO-820-R15
2026-02-27,INBOUND,CONFIRMED,663,Asterix,ASTERIX-821,35520.000,,Santa Ana,,"13,8 grados en planta | Transporte: arenas/jaimez",Ingreso Tolvas Santa Ana,16,XLS-INGRESO-TOLVAS-SANTA-ANA-663-R16
2026-02-28,INBOUND,CONFIRMED,821,Asterix,ASTERIX-821,28700.000,,Dospanca,,bolsa verde-hilo negro dtv 13324401-8 | Transporte: alvaro arenas,Env a Frio,16,XLS-ENV-A-FRIO-821-R16
2026-03-02,INBOUND,CONFIRMED,822,Asterix,ASTERIX-821,8700.000,,Dospanca,,bolsa verde-hilo negro dtv 13324451-4 | Transporte: cerone(sotelo),Env a Frio,17,XLS-ENV-A-FRIO-822-R17
2026-03-02,INBOUND,CONFIRMED,822,Agata,AGATA-240,7878.000,,Dospanca,,bolsa blanca-hilo celeste dtv 13324451-4 | Transporte: cerone(sotelo),Env a Frio,18,XLS-ENV-A-FRIO-822-R18
2026-03-09,INBOUND,CONFIRMED,1001,Agata,AGATA-241,35160.000,,Dospanca,,b.roja sin tamañar/dtv 13354667-7 | Transporte: serantes-vera,De campo a Frío,2,XLS-DE-CAMPO-A-FRIO-1001-R2
